"","global","Vis","SomMot","DorsAttn","SalVentAttn","Limbic","Cont","Default"
"dataset",2.62032094115617e-98,5.73006032474098e-180,5.32364501922245e-93,4.75991835178769e-26,4.35458342023758e-51,1.11577341404799e-22,2.58152631351237e-23,7.09277561722816e-49
"meanfwd",0.0356739237370511,0.104625104338154,0.823739059736986,0.0770392637749623,0.131508005523673,0.723370211092113,4.45943799916624e-06,0.00572838042138968
"sex",0.0448386701012944,0.123015078643435,0.868748015661515,0.132227682072283,0.573538752873949,0.014658292904578,0.0572564375248088,0.0166957184028965
"scan_age",0.387144454494026,0.619479616122551,0.619479616122551,0.465772549209289,0.387144454494026,0.946286816990216,0.387144454494026,0.387144454494026
"scan_age:dataset",0.042,0.448,0.491,0.036,0.491,0.2176,0.04,0
