,Factor1,Factor2,Factor3
conners_inattention_t,0.8673427777648375,0.3002729731744903,0.24993562918653078
conners_hyperactivity_impulsivity_t,0.6448654461720501,0.6001578572601511,0.04318460223700073
conners_peer_relations_t,0.32654141144703297,0.2473054243222125,0.8943936964939404
conners_learning_problems_t,0.8443220323758166,0.12440886359008935,0.24143375806716344
conners_executive_function_t,0.8124442571825885,0.24000041227054605,0.30674880814288935
conners_aggression_t,0.19064759948227564,0.8947314841554651,0.2775684230659085
