Factor1,Factor2,id,age_in_months,timepoint,dataset
0.2189151484186835,0.0019841251061087964,sub-A00018030,132.0,bas1,nki
0.4288601636701501,-0.06179578807996911,sub-A00027159,132.0,bas1,nki
-0.223354747760144,-0.1326395459544162,sub-A00027439,180.0,bas1,nki
0.8910592299358885,-0.3139726401065661,sub-A00027443,180.0,bas1,nki
1.1343029160806313,-0.09225417268455635,sub-A00030980,156.0,bas1,nki
0.3480520121168245,-0.21933401447286152,sub-A00030981,168.0,bas1,nki
-0.4325853616920927,-0.17376105206299894,sub-A00031219,204.0,bas1,nki
0.4794954122647535,0.1401351112774062,sub-A00031411,108.0,bas1,nki
-0.7557465941981585,-0.060043843601035804,sub-A00031881,180.0,bas1,nki
-0.8223723769948682,-0.1131039956644539,sub-A00033714,180.0,bas1,nki
0.5492809829366037,-0.18512788640688013,sub-A00034073,192.0,bas1,nki
0.6806916683852356,-0.32293576853837425,sub-A00034074,204.0,bas1,nki
0.23710586261876346,-0.032477471547419416,sub-A00034350,132.0,bas1,nki
-0.21773100563179243,-0.09330618739888696,sub-A00035291,156.0,bas1,nki
-0.876586631076325,0.060636375240651234,sub-A00035364,144.0,bas1,nki
-0.325783145621102,-0.13854716319470262,sub-A00035377,180.0,bas1,nki
1.3070484543182581,-0.43605417769035354,sub-A00035940,192.0,bas1,nki
0.1569280274412741,-0.1684587297533151,sub-A00035941,168.0,bas1,nki
0.3684671680656503,-0.11119817785449199,sub-A00035945,156.0,bas1,nki
-0.9464721383384769,0.4851856980936736,sub-A00037125,84.0,bas1,nki
-1.203240522922711,0.06679832613975865,sub-A00037126,144.0,bas1,nki
-0.23755288455028453,-0.18226867503906033,sub-A00037458,192.0,bas1,nki
-0.21873704188367896,-0.09868998931404695,sub-A00037459,156.0,bas1,nki
-0.40383155778563984,0.089172651632577,sub-A00037483,132.0,bas1,nki
1.3899583204796806,-0.2516860854953607,sub-A00038706,156.0,bas1,nki
-0.2730309994581351,-0.0003372900054638137,sub-A00039866,144.0,bas1,nki
-0.22645847805502287,-0.19430262130144874,sub-A00039943,180.0,bas1,nki
-1.145276569810041,0.6097202101865948,sub-A00040117,72.0,bas1,nki
-0.15680616616233392,-0.7154245646745127,sub-A00040798,132.0,bas1,nki
0.6716047626634466,-0.8991524896375848,sub-A00040800,192.0,bas1,nki
-0.47984390540641647,-0.8054211982336035,sub-A00040815,108.0,bas1,nki
-0.9057075222659258,-0.7838676618147854,sub-A00043240,180.0,bas1,nki
-0.2568236046827448,-1.118554473120648,sub-A00043282,192.0,bas1,nki
1.3937683848597742,-1.160567583993319,sub-A00043494,108.0,bas1,nki
0.37504417052081324,-1.0567585382260412,sub-A00043740,168.0,bas1,nki
1.0837392068028044,-1.4672984488554146,sub-A00044084,204.0,bas1,nki
-0.4760067740260414,-1.1934792614130614,sub-A00050743,180.0,bas1,nki
0.6509493751036972,-0.7331017675953836,sub-A00050848,192.0,bas1,nki
-0.912402884430301,-0.8330993985038418,sub-A00051690,180.0,bas1,nki
-0.24297014526155436,-1.0978277902210325,sub-A00051727,180.0,bas1,nki
0.14091172149929862,-0.7571910169444815,sub-A00051758,180.0,bas1,nki
-0.13326470065469023,-1.0499201521135455,sub-A00052069,120.0,bas1,nki
-2.0107293860934976,0.3034097364622282,sub-A00052183,192.0,bas1,nki
1.635221028021528,-1.2096978327811752,sub-A00052461,168.0,bas1,nki
-0.8894254102715297,-0.555131445071938,sub-A00052613,168.0,bas1,nki
-1.0754496370880309,-0.9333052723633793,sub-A00052614,204.0,bas1,nki
-0.3835122770068663,-0.6619349600114418,sub-A00053203,120.0,bas1,nki
-0.0011491412316606377,-0.7460015221564343,sub-A00053320,96.0,bas1,nki
1.1115492977834207,-0.956321196801698,sub-A00053390,168.0,bas1,nki
-1.0463873318250836,-0.3696553539397454,sub-A00053490,144.0,bas1,nki
-0.45555188687882325,-0.4168333218198695,sub-A00053744,204.0,bas1,nki
-0.9995557081030846,-0.6515112924938846,sub-A00053873,72.0,bas1,nki
2.100893385484219,-1.3686763104808957,sub-A00054578,108.0,bas1,nki
0.7839069900984749,-0.9662785673963518,sub-A00054581,120.0,bas1,nki
-0.7059148293109834,-0.5094775719412069,sub-A00055076,120.0,bas1,nki
-0.9696130856702504,-0.084384406702255,sub-A00055122,180.0,bas1,nki
-1.5625045229671959,-0.18889907247242155,sub-A00055267,156.0,bas1,nki
0.5728416616883539,-1.4444973370779262,sub-A00055332,180.0,bas1,nki
-0.31775232826097927,-1.2923080142298364,sub-A00055462,180.0,bas1,nki
2.5931903530836737,-1.0762341714527144,sub-A00055612,96.0,bas1,nki
-0.25191422257103013,-0.8967717032694231,sub-A00055866,108.0,bas1,nki
-0.8357300909064563,-1.0030271010426248,sub-A00055867,180.0,bas1,nki
-0.48161679655068,-0.7312212127175297,sub-A00055903,96.0,bas1,nki
-0.6795461581519275,-0.6747547293548534,sub-A00055906,180.0,bas1,nki
-0.6845427254008011,-0.957770766907637,sub-A00055908,120.0,bas1,nki
-0.6903171176549461,-0.7710334335818119,sub-A00055920,108.0,bas1,nki
-0.8052899939456323,-0.845666366497877,sub-A00055991,180.0,bas1,nki
1.3513819842449513,-0.5909837239105544,sub-A00056022,108.0,bas1,nki
1.5713621308889842,-0.852330856211775,sub-A00056198,108.0,bas1,nki
-0.7150325259212257,-0.7404808324611301,sub-A00056307,96.0,bas1,nki
-0.9113435054255044,-0.46018944387498395,sub-A00056420,108.0,bas1,nki
1.1469825375652263,-1.4644691525975064,sub-A00056453,204.0,bas1,nki
0.6324631863183864,-0.9358817778729559,sub-A00056470,144.0,bas1,nki
-1.3697577916889343,-1.0279156826017977,sub-A00056605,168.0,bas1,nki
-0.8164037904059154,-1.208430144891957,sub-A00056628,156.0,bas1,nki
-1.2681941046465717,-0.4042376409365495,sub-A00056679,108.0,bas1,nki
0.1555419915294835,-0.7204252135346235,sub-A00056703,192.0,bas1,nki
0.6231414691676932,-0.645233909225549,sub-A00056830,96.0,bas1,nki
0.7793220976602837,-0.8910609518783915,sub-A00056920,120.0,bas1,nki
-0.7618847892731645,-0.22371521212625076,sub-A00057405,156.0,bas1,nki
-1.1542157825159571,-0.8831955625007342,sub-A00057480,120.0,bas1,nki
-0.23978797155071355,-1.0443230850819691,sub-A00057809,96.0,bas1,nki
-1.1034308317765698,-0.8440511932170714,sub-A00057862,120.0,bas1,nki
0.37018206624606537,-0.8463299037473133,sub-A00057967,132.0,bas1,nki
-0.5863323172168217,-0.9491041224375479,sub-A00058061,120.0,bas1,nki
-0.14641299803417487,-0.9613995493972292,sub-A00058229,180.0,bas1,nki
-0.7806661322834136,-0.4969171593856302,sub-A00058516,120.0,bas1,nki
-0.46385825170095357,-0.6249100735099219,sub-A00058537,168.0,bas1,nki
-1.2975627085350376,-0.4571288367972926,sub-A00058570,108.0,bas1,nki
0.8532850931135103,-1.0468269983590948,sub-A00058685,204.0,bas1,nki
0.713381043880642,-0.959431554218104,sub-A00058951,96.0,bas1,nki
-0.6042482498985072,-0.6063915843528058,sub-A00059109,132.0,bas1,nki
-0.2275905487390748,-0.9050768070428523,sub-A00059325,144.0,bas1,nki
-0.2863797413995756,-0.8874669433413177,sub-A00059326,96.0,bas1,nki
-0.6166350590569032,-1.1001130485950514,sub-A00059327,132.0,bas1,nki
-0.20335447514172916,-1.2737132240544218,sub-A00059865,168.0,bas1,nki
-0.5609890752954477,-0.8473820344514472,sub-A00059935,180.0,bas1,nki
-0.1787282793563043,-0.6833984902900592,sub-A00060100,120.0,bas1,nki
-0.6311997703564179,-0.48327588826008344,sub-A00060280,192.0,bas1,nki
-0.6307907203355929,-0.7679052771583408,sub-A00060384,144.0,bas1,nki
-0.7619423321312081,-0.5086169942868516,sub-A00060429,120.0,bas1,nki
-0.7172474868184248,-0.6989452139842567,sub-A00060472,192.0,bas1,nki
-0.0556028682324673,-0.8050377566322063,sub-A00060503,156.0,bas1,nki
-0.7754132453123439,-0.6046387275319521,sub-A00060603,132.0,bas1,nki
0.6149251017405263,-1.2239325686572353,sub-A00060664,144.0,bas1,nki
-0.45792844158472756,-1.0000574675909206,sub-A00060806,192.0,bas1,nki
