,Factor1,Factor2
awma_digit_recall_raw_std,0.18178347791676,0.922697243046283
awma_backward_digit_raw_std,-0.01088276460324333,0.9434154138212318
tower_total_achievement_raw_std,-0.48216918467557973,-0.04083199121782911
trails_visual_scanning_raw_std,0.7568241292327893,0.028394362554190596
trails_number_letter_switching_raw_std,0.7642657928648954,0.17966767540520526
trails_motor_speed_raw_std,0.7178603059424591,0.04212138658422939
