,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
0,2.255,0.3241022800794021,0.5008133199369178,-1.0047518372857667e-16,0.10480300602891787,0.5020360988822733,0.32410228007940195,0.07733634133434775,bas1,sub-A00018030
1,3.07,0.26087708545770816,0.5538293551825761,3.8857805861880476e-17,0.0934418930106248,0.44757551771157184,0.2608770854577081,0.06099511742292337,bas1,sub-A00027159
2,4.175,0.18233551462265013,0.7438919437205584,-7.882583474838611e-17,0.0776640717301036,0.37166907717488573,0.18233551462265027,0.052630185222805444,bas1,sub-A00027167
3,3.16,0.37400996534792164,0.527520827496253,4.829470157119431e-17,0.11248794000825095,0.5267469495729724,0.3740099653479217,0.08110041138365041,bas1,sub-A00027439
4,3.31,0.29894991104717933,0.4884566903658543,6.561483127665025e-17,0.09804844281266205,0.3911294098173601,0.29894991104717933,0.07270617967986281,bas1,sub-A00027443
5,2.915,0.3500106848015356,0.6048538227036923,-1.2212453270876722e-17,0.11625055250446494,0.5065374157436144,0.35001068480153547,0.08438562691960502,bas1,sub-A00030980
6,2.555,0.3102319286517115,0.5484806092033501,-4.9960036108132046e-17,0.10666577665040229,0.48878626278591775,0.31023192865171145,0.06583683304526099,bas1,sub-A00030981
7,2.725,0.31042023302771654,0.5182849637238602,2.498001805406602e-18,0.11966270395118019,0.4990402550505244,0.31042023302771665,0.06942543837106108,bas1,sub-A00031219
8,2.57,0.23868347850579774,0.6295929372565159,3.975986206938842e-17,0.08335984189256167,0.4120393141952941,0.23868347850579788,0.060356565345097424,bas1,sub-A00031410
9,3.6,0.2767081355711566,0.6090098442277143,-2.634004125923184e-16,0.09050453345240413,0.4462330745166782,0.27670813557115653,0.06528082913586422,bas1,sub-A00031411
10,2.995,0.2380229327379854,0.5395002633192427,-1.3322676295501878e-17,0.09947381703812053,0.4364165930187805,0.2380229327379855,0.059690162821780496,bas1,sub-A00031881
11,2.37,0.2526455298819701,0.5728415578459191,4.884981308350689e-17,0.10093527449343487,0.397536899381533,0.25264552988197003,0.06384177002250849,bas1,sub-A00033714
12,2.91,0.3047396743380505,0.5401602706386758,2.2204460492503132e-17,0.10673795436826666,0.46543478812518463,0.30473967433805066,0.07588730935774855,bas1,sub-A00034073
13,3.82,0.2734617014792573,0.5334545529676755,2.6645352591003756e-17,0.09818423153335074,0.45094770473434365,0.2734617014792575,0.06410797133143224,bas1,sub-A00034074
14,2.435,0.29924445232638236,0.5540602866722568,7.771561172376095e-17,0.10447963549084509,0.5181907881544228,0.2992444523263823,0.06772264767681534,bas1,sub-A00034350
15,2.625,0.4346072682551373,0.5634683409201506,-5.329070518200751e-17,0.10964187470596624,0.52273011325481,0.4346072682551374,0.09829958525509691,bas1,sub-A00035291
16,2.41,0.4568525247923054,0.5480389669940471,2.1094237467877975e-17,0.12024298303086443,0.5982954481092991,0.45685252479230537,0.08904620056925107,bas1,sub-A00035364
17,2.445,0.3807891554402832,0.5359172747085785,-2.7131075164277264e-17,0.11919192103162286,0.5536649364875398,0.380789155440283,0.08269738968293272,bas1,sub-A00035377
18,2.395,0.30388380738368687,0.5380465040887514,-1.2045919817182948e-16,0.10912265541503491,0.499997009232236,0.3038838073836869,0.06846864941319329,bas1,sub-A00035940
19,2.805,0.3380698488870032,0.4951418909504525,8.326672684688674e-18,0.11038182910709578,0.4794618930372499,0.33806984888700303,0.07957849136174623,bas1,sub-A00035941
20,3.015,0.35371550010374153,0.6257940012320646,-1.0769163338864018e-16,0.09897390146414171,0.43615196459863326,0.3537155001037413,0.09960994460325145,bas1,sub-A00035945
21,2.84,0.34930841413154695,0.5966879341197115,-2.2204460492503132e-17,0.10417371445103205,0.4991544525749704,0.3493084141315467,0.08285423075359072,bas1,sub-A00037125
22,3.345,0.2222567446582858,0.5837560400879379,2.1649348980190553e-17,0.08530443032997509,0.4389682663816745,0.22225674465828588,0.055845472367864156,bas1,sub-A00037126
23,3.23,0.30884814451209974,0.5243842672705328,1.2427558981897846e-16,0.09481040170786871,0.4445391764034392,0.30884814451209974,0.07892153660290861,bas1,sub-A00037458
24,3.115,0.3144733150634078,0.5552778263522498,-4.107825191113079e-17,0.10017675962985312,0.4827384646651335,0.3144733150634077,0.07149943419699394,bas1,sub-A00037459
25,3.325,0.378082430192281,0.5194984450579533,-3.552713678800501e-17,0.10833913894689724,0.4768485375999755,0.37808243019228077,0.0809971808630917,bas1,sub-A00037483
26,3.785,0.38048143253400035,0.5496876689931591,1.5404344466674048e-17,0.10519223397874766,0.5278206359188606,0.38048143253400046,0.07976710843455852,bas1,sub-A00038603
27,2.955,0.299279198835428,0.5684197112057838,6.855627177060342e-17,0.10073594394673009,0.5112904119908792,0.29927919883542803,0.0669689081968674,bas1,sub-A00038706
28,3.12,0.2930838239924503,0.516936464190224,-4.7427339833205906e-17,0.08936628502575841,0.46197307386438,0.2930838239924505,0.06954132655981797,bas1,sub-A00039866
29,4.17,0.34569982868173776,0.48093953927022115,4.884981308350689e-17,0.10358453356523373,0.4554050449746141,0.34569982868173793,0.07886668737771822,bas1,sub-A00039943
30,2.925,0.3460642194697712,0.6352335227389864,-1.4876988529977099e-16,0.10160059445951308,0.4439674036502216,0.3460642194697709,0.10153727552862753,bas1,sub-A00040117
31,2.905,0.3392877619042218,0.5643895359167954,9.769962616701378e-17,0.10151544987480983,0.4932670415498274,0.3392877619042216,0.07845396145654084,bas1,sub-A00040798
32,2.56,0.28709577258350827,0.6193576407032854,-1.429412144204889e-17,0.10147088497316625,0.4695015486764053,0.2870957725835081,0.0709171394404754,bas1,sub-A00040800
33,2.45,0.31280602613571545,0.6268414852506511,6.494804694057165e-17,0.11140543506561774,0.36268292862730644,0.31280602613571523,0.10013197151966488,bas1,sub-A00040815
34,2.615,0.30788757190955246,0.5006073471220505,-3.635980405647388e-17,0.09924217964019602,0.49632766684711727,0.30788757190955246,0.07087047448934024,bas1,sub-A00043240
