"","estimate/edf","t/F","FDR-corrected p"
"sexM",-7.56933231519531e-05,-1.52939059507036,0.149800709757156
"meanfwd",7.08295910780703e-05,1.09889609070844,0.362766055046039
"dataset.L",-0.00350234422646546,-75.6518372807427,0
"s(scan_age)",1.86143223985457,1.162960341333,0.595418269602582
"s(scan_age):datasetnki",1.81806642539969,2.79827999528964,0.0148571428571429
