"","global","Vis","SomMot","DorsAttn","SalVentAttn","Limbic","Cont","Default"
"sex",0.210046394794913,2.09340122431268e-05,0.00393903699486139,0.071072208409146,0.0569644785106352,0.0022411325854626,0.499224718796393,0.955703967359133
"meanfwd",0.411593878193725,0.174851970882045,0.000542272061699413,0.12670855466927,8.89872332480662e-09,0.000621634055255441,0.943789264571544,0.726849288605259
"dataset",0,2.05370427629367e-176,4.05484695852761e-119,1.60411050746339e-78,1.3064190597705e-164,9.90098429446207e-83,2.18984831207705e-132,1.24538813141093e-214
"scan_age",0,0,0.0569644785106352,0,0,0,0.0430282680242157,1.10984867129904e-06
"scan_age:dataset",0.0986666666666667,0.0986666666666667,0.28,0.572,0.2688,0.338285714285714,0.158,0.0986666666666667
