"","estimate/edf","t/F","FDR-corrected p"
"sexM",0.000134515608270702,1.44666559792058,0.149800709757156
"meanfwd",0.000120980875645541,1.00034180772023,0.362766055046039
"dataset.L",-0.00275730406799755,-32.4097164691556,6.07604507021625e-152
"s(scan_age)",2.21014258130083,1.53846242760255,0.590712727776146
"s(scan_age):datasetnki",2.41180527969425,2.71130692052219,0.395
