"","estimate/edf","t/F","FDR-corrected p"
"sexM",-0.000495042500260825,-2.86518614209989,0.0170670459512961
"meanfwd",-0.000340730911504108,-1.51747439604624,0.247483164378515
"dataset.L",-0.00462420240719613,-29.5313036937768,1.40136653821024e-133
"s(scan_age)",1.00000000017818,0.072546810352747,0.877450000846465
"s(scan_age):datasetnki",1.92069110973924,9.011107134075,0.0148571428571429
