Labels
Parietal
Frontal
Parietal
Parietal
Parietal
Parietal
Parietal
Parietal
Parietal
Parietal
Granular
Granular
Granular
Granular
Parietal
Parietal
Parietal
Granular
Granular
Granular
Parietal
Parietal
Parietal
Parietal
Parietal
Parietal
Parietal
Frontal
Parietal
Parietal
Parietal
Granular
Parietal
Frontal
Agranular
Frontal
Parietal
Parietal
Granular
Agranular
Agranular
Parietal
Agranular
Frontal
Granular
Agranular
Granular
Frontal
Frontal
Agranular
Agranular
Agranular
Frontal
Frontal
Agranular
Frontal
Agranular
Agranular
Granular
Frontal
Frontal
Agranular
Frontal
Granular
Frontal
Agranular
Frontal
Frontal
Frontal
Frontal
Frontal
Parietal
Frontal
Frontal
Frontal
Frontal
Frontal
Frontal
Frontal
Frontal
Agranular
Frontal
Agranular
Frontal
Agranular
Frontal
Frontal
Frontal
Parietal
Agranular
Parietal
Agranular
Frontal
Agranular
Frontal
Frontal
Frontal
Frontal
Frontal
Parietal
Frontal
Agranular
Agranular
Frontal
Frontal
Frontal
Agranular
Frontal
Polar
Frontal
Polar
Agranular
Frontal
Frontal
Frontal
Agranular
Frontal
Polar
Frontal
Polar
Parietal
Polar
Frontal
Frontal
Frontal
Frontal
Frontal
Parietal
Polar
Parietal
Frontal
Frontal
Parietal
Frontal
Frontal
Frontal
Frontal
Frontal
Agranular
Polar
Frontal
Parietal
Granular
Frontal
Agranular
Frontal
Frontal
Frontal
Frontal
Frontal
Frontal
Agranular
Frontal
Frontal
Frontal
Agranular
Parietal
Agranular
Parietal
Agranular
Parietal
Agranular
Parietal
Parietal
Polar
Parietal
Polar
Parietal
Polar
Frontal
Polar
Frontal
Frontal
Frontal
Agranular
Frontal
Frontal
Frontal
Agranular
Frontal
Frontal
Polar
Frontal
Agranular
Agranular
Agranular
Frontal
Frontal
Agranular
Frontal
Frontal
Frontal
Frontal
Agranular
Agranular
Parietal
Frontal
Agranular
Parietal
Frontal
