"dataset","modality","node","eccentricity.cv","Group"
"1","2",29,0.354920576070121,"CALM Functional"
"2","2",29,0.358632253913052,"NKI Functional"
"1","1",30,0.132163483902162,"CALM Structural"
"2","1",30,0.176263354806167,"NKI Structural"
"1","2",30,0.319742759821398,"CALM Functional"
"2","2",30,0.341117622644027,"NKI Functional"
"1","1",31,0.0797675968729073,"CALM Structural"
"2","1",31,0.0766497819392291,"NKI Structural"
"1","2",31,0.374986490593945,"CALM Functional"
"2","2",31,0.367965267151333,"NKI Functional"
"1","1",32,0.0747001351673201,"CALM Structural"
"2","1",32,0.10225470272008,"NKI Structural"
"1","2",32,0.305145887219804,"CALM Functional"
"2","2",32,0.352751457532086,"NKI Functional"
"1","1",33,0.12746728023479,"CALM Structural"
"2","1",33,0.136274570381345,"NKI Structural"
"1","2",33,0.270707299315279,"CALM Functional"
"2","2",33,0.30977567805612,"NKI Functional"
"1","1",34,0.0791854509273429,"CALM Structural"
"2","1",34,0.0919702396270003,"NKI Structural"
"1","2",34,0.233024431689129,"CALM Functional"
"2","2",34,0.311031483657169,"NKI Functional"
"1","1",35,0.1079527018872,"CALM Structural"
"2","1",35,0.110401921036958,"NKI Structural"
"1","2",35,0.265637579250129,"CALM Functional"
"2","2",35,0.302478367200357,"NKI Functional"
"1","1",36,0.141920862022449,"CALM Structural"
"2","1",36,0.133245673778745,"NKI Structural"
"1","2",36,0.286053198269719,"CALM Functional"
"2","2",36,0.352145064370307,"NKI Functional"
"1","1",37,0.130036105005827,"CALM Structural"
"2","1",37,0.152294007912452,"NKI Structural"
"1","2",37,0.295081491781057,"CALM Functional"
"2","2",37,0.331631764855973,"NKI Functional"
"1","1",38,0.158750366748879,"CALM Structural"
"2","1",38,0.160263489648141,"NKI Structural"
"1","2",38,0.287304937219989,"CALM Functional"
"2","2",38,0.31857966624021,"NKI Functional"
"1","1",39,0.145843397849207,"CALM Structural"
"2","1",39,0.169224060225532,"NKI Structural"
"1","2",39,0.341022333826303,"CALM Functional"
"2","2",39,0.412694825879669,"NKI Functional"
"1","1",40,0.135950575143548,"CALM Structural"
"2","1",40,0.184296653394757,"NKI Structural"
"1","2",40,0.280760046323475,"CALM Functional"
"2","2",40,0.339699163264527,"NKI Functional"
"1","1",41,0.101408206813438,"CALM Structural"
"2","1",41,0.123852686560964,"NKI Structural"
"1","2",41,0.300975016244749,"CALM Functional"
"2","2",41,0.31912056605415,"NKI Functional"
"1","1",42,0.103996972503057,"CALM Structural"
"2","1",42,0.133879557033814,"NKI Structural"
"1","2",42,0.302834948281297,"CALM Functional"
"2","2",42,0.374824703912846,"NKI Functional"
"1","1",43,0.094485881588819,"CALM Structural"
"2","1",43,0.125543499234487,"NKI Structural"
"1","2",43,0.294164914346106,"CALM Functional"
"2","2",43,0.303796409306323,"NKI Functional"
"1","1",44,0.0890885866124112,"CALM Structural"
"2","1",44,0.131753721671263,"NKI Structural"
"1","2",44,0.321063859685572,"CALM Functional"
"2","2",44,0.334454851699163,"NKI Functional"
"1","1",45,0.0727814620567179,"CALM Structural"
"2","1",45,0.0969434570523601,"NKI Structural"
"1","2",45,0.220982523639576,"CALM Functional"
"2","2",45,0.265115701716715,"NKI Functional"
"1","1",46,0.0942970171617092,"CALM Structural"
"2","1",46,0.127874901768048,"NKI Structural"
"1","2",46,0.303327640727486,"CALM Functional"
"2","2",46,0.34747568384313,"NKI Functional"
"1","1",47,0.139660744240734,"CALM Structural"
"2","1",47,0.180307949967955,"NKI Structural"
"1","2",47,0.302331404979412,"CALM Functional"
"2","2",47,0.293008796668084,"NKI Functional"
"1","1",48,0.096220621744708,"CALM Structural"
"2","1",48,0.126553920692562,"NKI Structural"
"1","2",48,0.357583985670725,"CALM Functional"
"2","2",48,0.340977731554596,"NKI Functional"
