"dataset","modality","node","eccentricity.cv","Group"
"2","1",144,0.201061878946013,"NKI Structural"
"1","2",144,0.30545744932026,"CALM Functional"
"2","2",144,0.327978952737524,"NKI Functional"
"1","1",145,0.109767811982818,"CALM Structural"
"2","1",145,0.122705900995659,"NKI Structural"
"1","2",145,0.269193552519062,"CALM Functional"
"2","2",145,0.324248606377329,"NKI Functional"
"1","1",146,0.0994258663840707,"CALM Structural"
"2","1",146,0.116136650227558,"NKI Structural"
"1","2",146,0.307569327801442,"CALM Functional"
"2","2",146,0.359277748311385,"NKI Functional"
"1","1",147,0.0858511099572956,"CALM Structural"
"2","1",147,0.11138405128615,"NKI Structural"
"1","2",147,0.255515965471099,"CALM Functional"
"2","2",147,0.321574649845493,"NKI Functional"
"1","1",148,0.0903215768044954,"CALM Structural"
"2","1",148,0.113318695813105,"NKI Structural"
"1","2",148,0.329624004352605,"CALM Functional"
"2","2",148,0.39047089650187,"NKI Functional"
"1","1",149,0.108031026314425,"CALM Structural"
"2","1",149,0.128537995739397,"NKI Structural"
"1","2",149,0.334288189829512,"CALM Functional"
"2","2",149,0.391789276015479,"NKI Functional"
"1","1",150,0.0646554732385532,"CALM Structural"
"2","1",150,0.0920059319810718,"NKI Structural"
"1","2",150,0.261127080862802,"CALM Functional"
"2","2",150,0.285216388948536,"NKI Functional"
"1","1",151,0.102388171934065,"CALM Structural"
"2","1",151,0.135301637923855,"NKI Structural"
"1","2",151,0.309580822893995,"CALM Functional"
"2","2",151,0.353641877466209,"NKI Functional"
"1","1",152,0.142854850690314,"CALM Structural"
"2","1",152,0.204052448219681,"NKI Structural"
"1","2",152,0.419059809130641,"CALM Functional"
"2","2",152,0.428266503143588,"NKI Functional"
"1","1",153,0.139455114668072,"CALM Structural"
"2","1",153,0.185291131024914,"NKI Structural"
"1","2",153,0.328933670474612,"CALM Functional"
"2","2",153,0.341681413928724,"NKI Functional"
"1","1",154,0.136666539712904,"CALM Structural"
"2","1",154,0.197236011484144,"NKI Structural"
"1","2",154,0.296259222649052,"CALM Functional"
"2","2",154,0.348835435037155,"NKI Functional"
"1","1",155,0.0985094585175133,"CALM Structural"
"2","1",155,0.12349240279307,"NKI Structural"
"1","2",155,0.285301194078181,"CALM Functional"
"2","2",155,0.297629606654748,"NKI Functional"
"1","1",156,0.143901482388755,"CALM Structural"
"2","1",156,0.162597302350123,"NKI Structural"
"1","2",156,0.272213228010798,"CALM Functional"
"2","2",156,0.32798243030933,"NKI Functional"
"1","1",157,0.165930840952771,"CALM Structural"
"2","1",157,0.217427183650842,"NKI Structural"
"1","2",157,0.362056594834198,"CALM Functional"
"2","2",157,0.393145021696342,"NKI Functional"
"1","1",158,0.152299066386534,"CALM Structural"
"2","1",158,0.177885017401836,"NKI Structural"
"1","2",158,0.284492938679684,"CALM Functional"
"2","2",158,0.338471434144847,"NKI Functional"
"1","1",159,0.108681105964867,"CALM Structural"
"2","1",159,0.156610539965768,"NKI Structural"
"1","2",159,0.406860350474386,"CALM Functional"
"2","2",159,0.433367333456144,"NKI Functional"
"1","1",160,0.0975293450935518,"CALM Structural"
"2","1",160,0.133234777892248,"NKI Structural"
"1","2",160,0.365798030646289,"CALM Functional"
"2","2",160,0.406397423372113,"NKI Functional"
"1","1",161,0.0922588570416346,"CALM Structural"
"2","1",161,0.130219583026974,"NKI Structural"
"1","2",161,0.35470903230609,"CALM Functional"
"2","2",161,0.407107156653691,"NKI Functional"
"1","1",162,0.14446296793273,"CALM Structural"
"2","1",162,0.163490155605953,"NKI Structural"
"1","2",162,0.404007284911628,"CALM Functional"
"2","2",162,0.41646193115996,"NKI Functional"
"1","1",163,0.0984034399958601,"CALM Structural"
"2","1",163,0.12505365143709,"NKI Structural"
"1","2",163,0.428053543129784,"CALM Functional"
"2","2",163,0.443145772198326,"NKI Functional"
"1","1",164,0.126195706221795,"CALM Structural"
"2","1",164,0.171073117257932,"NKI Structural"
"1","2",164,0.388132837599909,"CALM Functional"
"2","2",164,0.448830604266341,"NKI Functional"
"1","1",165,0.139955854346728,"CALM Structural"
"2","1",165,0.168501399991994,"NKI Structural"
"1","2",165,0.292987392437211,"CALM Functional"
"2","2",165,0.351394699982911,"NKI Functional"
"1","1",166,0.111972630217743,"CALM Structural"
"2","1",166,0.125636221124665,"NKI Structural"
"1","2",166,0.299281713312372,"CALM Functional"
"2","2",166,0.349954652184932,"NKI Functional"
"1","1",167,0.11561210778589,"CALM Structural"
"2","1",167,0.133743544239626,"NKI Structural"
"1","2",167,0.263973136453176,"CALM Functional"
"2","2",167,0.329005290199229,"NKI Functional"
"1","1",168,0.0850604550998521,"CALM Structural"
"2","1",168,0.112823432010532,"NKI Structural"
"1","2",168,0.301656783938203,"CALM Functional"
"2","2",168,0.343071244336447,"NKI Functional"
"1","1",169,0.118277281540664,"CALM Structural"
"2","1",169,0.163524447970612,"NKI Structural"
"1","2",169,0.348534819983471,"CALM Functional"
"2","2",169,0.385141429758674,"NKI Functional"
"1","1",170,0.0749916990751532,"CALM Structural"
"2","1",170,0.0937561412391892,"NKI Structural"
"1","2",170,0.33794027934462,"CALM Functional"
"2","2",170,0.338817329107886,"NKI Functional"
"1","1",171,0.0738662336296878,"CALM Structural"
"2","1",171,0.105650270175948,"NKI Structural"
"1","2",171,0.301652871406785,"CALM Functional"
"2","2",171,0.325701710578889,"NKI Functional"
"1","1",172,0.0692901251336339,"CALM Structural"
"2","1",172,0.110016983995651,"NKI Structural"
"1","2",172,0.277169356967136,"CALM Functional"
"2","2",172,0.330863788386104,"NKI Functional"
"1","1",173,0.083560464289111,"CALM Structural"
"2","1",173,0.124813134470737,"NKI Structural"
"1","2",173,0.270989035871126,"CALM Functional"
"2","2",173,0.343290762915665,"NKI Functional"
"1","1",174,0.075551904587598,"CALM Structural"
"2","1",174,0.10247083533155,"NKI Structural"
"1","2",174,0.308517012910914,"CALM Functional"
"2","2",174,0.393071088568651,"NKI Functional"
"1","1",175,0.118444296345198,"CALM Structural"
"2","1",175,0.16193024399045,"NKI Structural"
"1","2",175,0.260800707927379,"CALM Functional"
"2","2",175,0.31726790130851,"NKI Functional"
"1","1",176,0.0961843667881823,"CALM Structural"
"2","1",176,0.127096691591918,"NKI Structural"
"1","2",176,0.240448381758182,"CALM Functional"
"2","2",176,0.29188414694732,"NKI Functional"
"1","1",177,0.113683758016312,"CALM Structural"
"2","1",177,0.120115692900713,"NKI Structural"
"1","2",177,0.332698956113655,"CALM Functional"
"2","2",177,0.353476626189546,"NKI Functional"
"1","1",178,0.203868587780627,"CALM Structural"
"2","1",178,0.208297242671837,"NKI Structural"
"1","2",178,0.384455745985765,"CALM Functional"
"2","2",178,0.412200875969433,"NKI Functional"
"1","1",179,0.236614447608726,"CALM Structural"
"2","1",179,0.175956650036758,"NKI Structural"
"1","2",179,0.37206814413321,"CALM Functional"
"2","2",179,0.400493171778689,"NKI Functional"
"1","1",180,0.136309364488482,"CALM Structural"
"2","1",180,0.143097669595767,"NKI Structural"
"1","2",180,0.341168717515404,"CALM Functional"
"2","2",180,0.42749515214689,"NKI Functional"
"1","1",181,0.111354181081767,"CALM Structural"
"2","1",181,0.131946736127351,"NKI Structural"
"1","2",181,0.268933960358433,"CALM Functional"
"2","2",181,0.333014898059268,"NKI Functional"
"1","1",182,0.100029307669711,"CALM Structural"
"2","1",182,0.126522019083503,"NKI Structural"
"1","2",182,0.284671621195654,"CALM Functional"
"2","2",182,0.335017425735873,"NKI Functional"
"1","1",183,0.102116333588543,"CALM Structural"
"2","1",183,0.115705881295499,"NKI Structural"
"1","2",183,0.271622372450196,"CALM Functional"
"2","2",183,0.309614594591554,"NKI Functional"
"1","1",184,0.154009334177312,"CALM Structural"
"2","1",184,0.161521727877693,"NKI Structural"
"1","2",184,0.207336623422391,"CALM Functional"
"2","2",184,0.299979902525372,"NKI Functional"
"1","1",185,0.133371894598286,"CALM Structural"
"2","1",185,0.163685889944049,"NKI Structural"
"1","2",185,0.333966689926605,"CALM Functional"
"2","2",185,0.359418572874475,"NKI Functional"
"1","1",186,0.113135695232607,"CALM Structural"
"2","1",186,0.134431474322521,"NKI Structural"
"1","2",186,0.263778574628235,"CALM Functional"
"2","2",186,0.319207038233557,"NKI Functional"
"1","1",187,0.109942966029534,"CALM Structural"
"2","1",187,0.164354531660774,"NKI Structural"
"1","2",187,0.316085362955022,"CALM Functional"
"2","2",187,0.379521980509747,"NKI Functional"
"1","1",188,0.125880932770697,"CALM Structural"
"2","1",188,0.15870425959147,"NKI Structural"
"1","2",188,0.291395879467612,"CALM Functional"
"2","2",188,0.315036870981318,"NKI Functional"
"1","1",189,0.087047089857202,"CALM Structural"
"2","1",189,0.110413278445402,"NKI Structural"
"1","2",189,0.313337158787082,"CALM Functional"
"2","2",189,0.406751022316539,"NKI Functional"
"1","1",190,0.0891845679010705,"CALM Structural"
"2","1",190,0.115596935769139,"NKI Structural"
"1","2",190,0.278528063323679,"CALM Functional"
"2","2",190,0.349650923992741,"NKI Functional"
"1","1",191,0.132557846889428,"CALM Structural"
"2","1",191,0.19459175632344,"NKI Structural"
"1","2",191,0.319387654095347,"CALM Functional"
"2","2",191,0.38951997378169,"NKI Functional"
"1","1",192,0.156182154664912,"CALM Structural"
"2","1",192,0.188556214888592,"NKI Structural"
"1","2",192,0.31517681197981,"CALM Functional"
"2","2",192,0.418971282513848,"NKI Functional"
"1","1",193,0.248980143980821,"CALM Structural"
"2","1",193,0.217206774906241,"NKI Structural"
"1","2",193,0.354175755168523,"CALM Functional"
"2","2",193,0.4383055602233,"NKI Functional"
"1","1",194,0.0948783619939633,"CALM Structural"
"2","1",194,0.116807794588477,"NKI Structural"
"1","2",194,0.248989967379574,"CALM Functional"
"2","2",194,0.341149976918513,"NKI Functional"
"1","1",195,0.0807016231933307,"CALM Structural"
"2","1",195,0.107133876205977,"NKI Structural"
"1","2",195,0.239061715217004,"CALM Functional"
"2","2",195,0.299101370306964,"NKI Functional"
"1","1",196,0.0957270610624885,"CALM Structural"
"2","1",196,0.109258438591325,"NKI Structural"
"1","2",196,0.266707419495862,"CALM Functional"
"2","2",196,0.301235236828203,"NKI Functional"
"1","1",197,0.120925067357422,"CALM Structural"
"2","1",197,0.136734287107334,"NKI Structural"
"1","2",197,0.210897855583713,"CALM Functional"
"2","2",197,0.279271518215932,"NKI Functional"
"1","1",198,0.0903034710686952,"CALM Structural"
"2","1",198,0.100705522205077,"NKI Structural"
"1","2",198,0.310864408116987,"CALM Functional"
"2","2",198,0.327971625088038,"NKI Functional"
"1","1",199,0.139502291960151,"CALM Structural"
"2","1",199,0.148641632395276,"NKI Structural"
"1","2",199,0.292325612793797,"CALM Functional"
"2","2",199,0.35395084273974,"NKI Functional"
"1","1",200,0.169958357035593,"CALM Structural"
"2","1",200,0.182835888471836,"NKI Structural"
"1","2",200,0.295586168623796,"CALM Functional"
"2","2",200,0.359968033362207,"NKI Functional"
