,estimates,std_err,raw_pval,d,fdr_pval
Vis,0.0727086803054124,0.14064488240028292,0.6051796053827062,0.06994910010280349,0.705079220493789
SomMot,0.14773943293321165,0.13808085906752043,0.28464240936535357,0.14477139233469682,0.4554278549845657
DorsAttn,0.23470935164373277,0.13079953262379543,0.07274609081279398,0.24279738526929584,0.3655798311726237
SalVentAttn,-0.06339951686267711,0.13835895466099615,0.6467908792324769,-0.062000969425857255,0.705079220493789
Limbic,0.18858154678073874,0.1419871361127593,0.18412546002788832,0.1797090704832134,0.36825092005577664
Cont,0.05037785231714517,0.13310816745694642,0.705079220493789,0.051209996760451654,0.705079220493789
Default,0.18298210186350716,0.12307886221869442,0.1370924366897339,0.20116153591524039,0.3655798311726237
global_manifold,0.20375993722509433,0.12453891879863509,0.1018156153601396,0.22137751645908657,0.3655798311726237
