"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.015381121746335,2.63550594828698,0.0344456019919269
"meanfwd",0.0559652142773879,5.63982121202943,5.17809530628457e-08
"ti(Factor1)",1.00000639163255,9.84720724220198,0.00285029895347764
"ti(scan_age,Factor1)",1.00002390663125,0.301124009041194,0.949
"ti(Factor2)",2.64046672419779,54.2118833373843,0
"ti(scan_age,Factor2)",1.54220529501399,9.05204575703407,0.138666666666667
"ti(scan_age)",1.00004090401753,5.91952299461176e-05,0.995188312894277
