"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0240087725038644,3.55507090066473,0.00976396428998964
"meanfwd",0.0342689851304758,3.20605020183819,0.0203806104879924
"ti(Factor1)",1.00000159941513,7.06893541973644,0.0827684140293325
"ti(scan_age,Factor1)",2.15210223110736,3.73373041225919,0.186989238293211
"ti(Factor2)",1.0000005026235,0.780544977131857,0.519682074010756
"ti(scan_age,Factor2)",1.73950655733209,1.04217110797161,0.519682074010756
"ti(Factor3)",1.82578453883737,2.13469070883082,0.454973722087753
"ti(scan_age,Factor3)",1.00000004584724,0.0304387650260702,0.937060158614993
"ti(scan_age)",1.00000006172335,1.06906641645115,0.519682074010756
