"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.018603207668264,3.23977289363335,0.0203804482633697
"meanfwd",0.0389180830348175,4.36563795345134,0.00107042424445269
"ti(Factor1)",1.00000007813027,3.05720097036378,0.28878064652103
"ti(scan_age,Factor1)",2.60059151524723,3.52343742323472,0.186989518138666
"ti(Factor2)",0.999999939997273,1.71832388428783,0.454985282557818
"ti(scan_age,Factor2)",2.71184220073707,1.66600562223186,0.418040636382898
"ti(Factor3)",1.07062504780818,0.657389213590857,0.519688263272834
"ti(scan_age,Factor3)",1.00000057653642,1.2312406614352,0.50133088328316
"ti(scan_age)",0.999999885338956,0.0487844654749987,0.937069673478771
