"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.00171233294219651,0.181083527799977,0.937077566337854
"meanfwd",-0.00455273903239471,-0.301718412139542,0.886027825811766
"ti(Factor1)",2.53228428161815,1.01687939651618,0.454988775114289
"ti(scan_age,Factor1)",1.52299561051852,1.63510548340571,0.51968826752068
"ti(Factor2)",0.999999780660136,0.774637425287011,0.51968826752068
"ti(scan_age,Factor2)",1.000008559276,0.00891138400849762,0.941933021824556
"ti(Factor3)",1.00000000155608,1.51475645785285,0.463518143193876
"ti(scan_age,Factor3)",1.00000031187218,1.03624671502998,0.51968826752068
"ti(scan_age)",0.999999860137551,0.703198835910869,0.526301113001843
