"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0364263071027757,4.36850648111815,0.000820902805129777
"meanfwd",0.0152463208430554,1.06065405154866,0.385679310687649
"ti(Factor1)",1.00000325257754,1.16022960301159,0.385679310687649
"ti(scan_age,Factor1)",1.00000276413449,0.267894248770737,0.65146643746447
"ti(Factor2)",1.00000026272474,3.27282175385939,0.165479248271172
"ti(scan_age,Factor2)",1.00000938249218,4.29604367213022,0.144150617354
"ti(scan_age)",1.00000685978034,4.11061699499167,0.150333955951802
