"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0108094829625351,1.45625007357919,0.418040636382898
"meanfwd",0.0140219972839168,1.19062553379918,0.481901182478399
"ti(Factor1)",1.69068649761401,0.676321686463547,0.628481644112298
"ti(scan_age,Factor1)",1.00010701707803,0.769442717681938,0.519688263272834
"ti(Factor2)",1.00000000414753,0.0299225656756908,0.937069673478771
"ti(scan_age,Factor2)",1.00005568393421,0.672840099235792,0.530232483338016
"ti(Factor3)",1.00000014090592,0.00797960077467026,0.941933018727714
"ti(scan_age,Factor3)",1.00000034252837,1.21104210077702,0.50133088328316
"ti(scan_age)",1.00000039741289,0.140168951846986,0.835957496373105
