"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.00649268702099618,0.694308298156218,0.569039967212073
"meanfwd",-0.0209127428794284,-1.26069930310495,0.323385474252782
"ti(Factor1)",0.999999519188673,1.61134454853544,0.323385474252782
"ti(scan_age,Factor1)",1.00000134229509,0.418089948764653,0.579077849514906
"ti(Factor2)",1.00000005645724,4.25586800938471,0.130719789682904
"ti(scan_age,Factor2)",1.00000281681266,7.84121138147809,0.0268064844860082
"ti(scan_age)",0.99999998064926,0.294711600867954,0.612528945668629
