"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0241096948435578,3.55579326880824,0.00638089839872757
"meanfwd",0.0366159999116908,3.10714936404732,0.0138267096318553
"ti(Factor1)",1.0000001102998,1.72403009567254,0.303455981956205
"ti(scan_age,Factor1)",1.00000027631876,2.81609975661837,0.187651812202172
"ti(Factor2)",1.00000011142522,3.91418170423856,0.150333955951802
"ti(scan_age,Factor2)",1.00000040546762,3.55679118505025,0.15345560319796
"ti(scan_age)",1.00000007711514,3.06018486545004,0.173872227915211
