"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0134058396585323,1.81479934851766,0.165479248271172
"meanfwd",0.00533277641340302,0.413437741341358,0.691781905094793
"ti(Factor1)",0.999996913016131,1.14187985295773,0.385679310687649
"ti(scan_age,Factor1)",1.00000422913268,0.878174790963137,0.444266281969055
"ti(Factor2)",1.00000010780274,2.82667098047222,0.187651812202172
"ti(scan_age,Factor2)",1.00000006461666,0.498553456193189,0.549029827808972
"ti(scan_age)",1.00000003945353,0.378949469103005,0.591174857337452
