"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0215663672009522,2.69274437116908,0.0582288171273292
"meanfwd",0.0603579631312441,4.74264169933245,2.62113044182448e-06
"ti(Factor1)",1.27299853538156,27.3128804365521,0
"ti(scan_age,Factor1)",1.00000229699537,0.280647084303634,0.99
"ti(Factor2)",2.01416982761046,4.39403061991669,0.0123686456578049
"ti(scan_age,Factor2)",1.00000232467478,0.0145264145384107,0.998
"ti(Factor3)",1.0000007370838,1.19865609343457,0.274016028707035
"ti(scan_age,Factor3)",1.00000731855997,2.64912351076984,0.728
"ti(scan_age)",1.00000099540575,1.37535931486168,0.646341248047765
