"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0195416025752567,3.2538782092423,0.0112018380369468
"meanfwd",0.0144768487480608,1.39442871497912,0.286451941346583
"ti(Factor1)",1.00000158420641,0.738744696039287,0.485824770267475
"ti(scan_age,Factor1)",0.999991427885158,1.79538229902432,0.297728225887583
"ti(Factor2)",1.00000013195455,1.83909448987489,0.297728225887583
"ti(scan_age,Factor2)",0.999998691586891,9.65911213173622,0.0138267096318553
"ti(scan_age)",1.00000019763421,1.95659044882416,0.286451941346583
