"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0193623403896636,3.36244331079896,0.00918546869910742
"meanfwd",0.0293464368360131,3.02597991610523,0.0160597098631849
"ti(Factor1)",0.999999983628216,0.894390075344321,0.4454588902305
"ti(scan_age,Factor1)",0.999996942825203,1.90607878486533,0.294995601080956
"ti(Factor2)",1.0000001562671,13.7138671325518,0.00575046411072676
"ti(scan_age,Factor2)",0.999997342498277,12.446436191395,0.00629587304206525
"ti(scan_age)",2.25973319848772,0.393083368621963,0.569039967212073
