"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.00171231239049516,0.181081363670464,0.937069673478771
"meanfwd",-0.00455274833188426,-0.301718738452977,0.886027537044326
"ti(Factor1)",2.53228305085832,1.01688327543603,0.454985282557818
"ti(scan_age,Factor1)",1.52296254611226,1.63506974583366,0.519688263272834
"ti(Factor2)",0.999999809130007,0.774641849575625,0.519688263272834
"ti(scan_age,Factor2)",1.0000154330436,0.00890943715845566,0.941933018727714
"ti(Factor3)",1.00000009591663,1.51475377003047,0.463519000263089
"ti(scan_age,Factor3)",1.0000014333526,1.03624615655795,0.519688263272834
"ti(scan_age)",1.00000022690898,0.703187000898139,0.526306264714789
