"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.018911465261556,1.80424663429231,0.274866066001984
"meanfwd",0.031516947563467,1.94473991544925,0.221336482622587
"ti(Factor1)",1.00000022806062,1.33309515350423,0.497404487554605
"ti(scan_age,Factor1)",2.22313212953237,3.89531315416726,0.180715322999636
"ti(Factor2)",1.00000073741641,0.79647978765737,0.519688263272834
"ti(scan_age,Factor2)",1.00000229221406,0.788472263326569,0.519688263272834
"ti(Factor3)",1.00000133536638,4.08275397905205,0.196894695260135
"ti(scan_age,Factor3)",1.38414489779307,0.739893280261363,0.519688263272834
"ti(scan_age)",1.00000005455985,0.00906449354693399,0.941933018727714
