"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.0238340973965392,2.28181605360793,0.0983810158263449
"meanfwd",0.012881841738074,0.714305371423139,0.549029827808972
"ti(Factor1)",1.00000155516765,0.706895109539636,0.487931114872036
"ti(scan_age,Factor1)",0.999999995035479,0.943303804967933,0.432122417922726
"ti(Factor2)",2.37858688593996,1.0671934107223,0.309320902214165
"ti(scan_age,Factor2)",1.00001465895421,5.86840954069643,0.0732669222331494
"ti(scan_age)",1.00000224680137,0.15355671468473,0.695293752209276
