"","Estimate/EDF","t/F","FDR-corrected p-value"
"sexM",0.018911467321972,1.80425052278653,0.274862916388132
"meanfwd",0.0315170175846135,1.94474619098517,0.221333274455013
"ti(Factor1)",0.999999970087285,1.33309353250361,0.497405023250703
"ti(scan_age,Factor1)",2.22311610542691,3.89539518632904,0.180703222099024
"ti(Factor2)",0.999999731234153,0.796484392501723,0.51968826752068
"ti(scan_age,Factor2)",1.00000045240649,0.788476813613261,0.51968826752068
"ti(Factor3)",1.0000001143053,4.08281479293186,0.19688757400217
"ti(scan_age,Factor3)",1.38408302823667,0.739904676163433,0.51968826752068
"ti(scan_age)",0.999999834987908,0.00906481882468707,0.941933021824556
