"","global","Vis","SomMot","DorsAttn","SalVentAttn","Limbic","Cont","Default"
"sex",0.798278630979031,0.798278630979031,0.584021874671286,0.666190623086976,0.584021874671286,0.298075489528757,0.83580638117743,0.666190623086976
"meanfwd",0.229661779848775,0.158531817319089,0.958213379449152,0.666687793300779,0.00800028595945301,0.4026351644639,0.0247026545005117,0.584021874671286
"dataset",1.38052110881413e-10,0.000425606721628514,0.76543208973569,1.5587395875052e-05,0.0150912186852292,0.549937840000808,2.9461999837872e-05,2.00966618508738e-16
"scan_age",0.00156830143230234,0.158531817319089,0.0647807540538454,0.27716310367999,0.0851637007630333,0.30081026749186,0.000949778535393649,0.284349950523655
"scan_age:dataset",0.0986666666666667,0.0986666666666667,0.28,0.572,0.2688,0.338285714285714,0.158,0.0986666666666667
