"","estimate/edf","t/F","FDR-corrected p"
"sexM",-0.000539789955370144,-0.573829309698238,0.666190623086976
"meanfwd",-0.00416994707573732,-0.743001443621753,0.584021874671286
"dataset.L",-0.00640645742521355,-8.88529238919392,2.00966618508738e-16
"s(scan_age)",1.04252396980752,1.86403908509347,0.284349950523655
"s(scan_age):datasetnki",1.00000000022872,2.0255720806142,0.28200458966566
