"","estimate/edf","t/F","FDR-corrected p"
"sexM",-0.000892283778319698,-0.926057097926208,0.943721510708434
"meanfwd",0.0173647417908827,3.03326748182433,0.02004647506275
"dataset.L",-0.00278309749438165,-3.98593767947785,0.00014807158665122
"s(scan_age)",1.00000000034681,2.5078790395117,0.23248115009771
"s(scan_age):datasetnki",1.00000000019998,1.58627608782252,0.909
