"","estimate/edf","t/F","FDR-corrected p"
"sexM",0.00098431688954576,0.891775699744185,0.943721510708434
"meanfwd",0.00151845536875558,0.231687141676776,0.933538996739471
"dataset.L",0.000509678090367659,0.6300467255817,0.528863218650238
"s(scan_age)",1.50979516634606,2.23487852097291,0.358038808965485
"s(scan_age):datasetnki",1.00000000015206,0.229225441039749,0.909
