,estimates,CI_Lower,CI_Upper,pval,significant
scan_age,-0.0006385424538603961,-0.0022384773556516383,0.0009613924479308462,0.43407826577549435,No
Sex,-0.004077129402382446,-0.011984985536240849,0.0038307267314759575,0.3122474328798346,No
meanFWD,-0.02580238994917497,-0.03476224916773182,-0.016842530730618123,1.6589536536731148e-08,Yes
