dataset,modality,gradient,corr
0,0,0,0.9909922748068702
0,0,1,0.9667966699167481
0,1,0,0.9731478286957175
0,1,1,0.9840291007275184
1,0,0,0.994286357158929
1,0,1,0.9882472061801546
1,1,0,0.9903082577064427
1,1,1,0.984180604515113
