,G0,G1,G2
0,0.03835979425807817,0.01659083262365307,0.003505137872963788
1,0.06020299397912249,0.032531938196590816,0.0012153136275865563
2,0.03869453619053426,0.007827899665322728,0.01343184504207564
3,0.04479269387056793,0.025908661956271953,-0.004965154927663061
4,0.06645072261875118,0.03969671247526342,-0.0027857533009101776
5,0.015442612726456839,0.004155169802215436,-0.013628779243066344
6,0.0684256121129473,0.04257690007855762,-0.00602634918922268
7,0.027168884210054693,-0.008974655205706767,0.02149183580205001
8,0.0677055812203296,0.04090803857052156,-0.0036424840531737966
9,0.05269333425550556,0.031876691184420144,-0.007815837201356465
10,0.052938164653843045,0.024259749422667225,0.003811998197464199
11,0.033113137768940225,0.019053191263658068,-0.012574781170508429
12,0.06347787115978666,0.039885597964572916,-0.008583496354277704
13,0.05899254052455759,0.033345481664014416,-0.004682072731328506
14,0.000538030810183165,-0.028409194171149222,0.033907552962619276
15,0.00022022078219157657,-0.03557043838786339,0.035953696863562964
16,-0.007052759236339001,-0.01923627542320478,0.001470817442712474
17,-0.011234101605662619,-0.014009068385379577,-0.005281599485442596
18,-0.00705063798296166,-0.018885915917065503,-0.0021873441710205522
19,-0.012584478799030116,-0.01818887137997694,-0.018440721578364825
20,-0.016234092157686255,-0.01282645268534963,-0.028412926077032673
21,-0.006551175106545235,-0.005851465987264948,-0.02960306858352626
22,-0.010997905957261522,-0.023204012029246126,-0.028225417392506166
23,-0.01170294590943487,-0.020141808509957424,-0.0282270336931084
24,-0.0036720563605092977,-0.019819362126075015,-0.019814637354017235
25,-0.012892766914982721,-0.01538066797148721,-0.03190816397093612
26,-0.00692270198923022,-0.015415448358837888,-0.02471401255254369
27,-0.01080754862041615,-0.00680431005985402,-0.024406227533311144
28,-0.006615712073111699,-0.01038313249328978,-0.034617491202953404
29,-0.005797825449278306,-0.010700705462981642,-0.02143316848366046
30,0.028153663718564592,-0.005409256057580636,0.0234377302963362
31,0.018755763471138536,-0.02394732864499368,0.0331329406540579
32,0.012103971933714496,-0.00635460182075454,-0.012742617412594177
33,-0.008711574384886529,-0.023669985522779203,-0.018206697881511507
34,-0.0071458459180588725,-0.02218621635419133,-0.0217770408188361
35,-0.0013710834706205553,-0.022156887077392506,-0.012990252987965044
36,0.004744466555835451,-0.009666687764274665,-0.020422251774431213
37,0.0012163111538180883,-0.016884533855757687,-0.01467747995022202
38,-0.0007793634622637402,-0.008216041560787042,-0.033580580050034364
39,-0.0032714811203139633,-0.011556688462288118,-0.027742649409601295
40,-0.017642384246181572,-0.004457945949169567,-0.024659427736493753
41,-0.01646048626525759,0.003162976215795853,-0.014351449296865193
42,-0.021348969094939864,0.003443326688975263,-0.013373065518616455
43,0.0009857997332855914,-0.03417067337533974,0.02867060029831675
