,estimates,CI_Lower,CI_Upper,raw_pval,std_err,significant
Sex[T.2],0.058180729363438766,-0.21119058649834704,0.3275520452252246,0.6720567433717098,0.1374368702621846,No
scan_age,0.01936089505119945,-0.12433256714192253,0.16305435724432144,0.7917178054213614,0.07331433808302483,No
meanFWD,-0.13271220771190095,-0.27451603281513404,0.009091617391332157,0.06660906506028409,0.07235021981105959,No
