,G0,G1,G2
0,0.04112495496130841,0.021491210196305153,0.002412414132253609
1,0.05688969248928957,0.02812582326011543,0.0026808835570654023
2,0.03661332538009394,0.0003442795075029723,-0.014335646614430968
3,0.046032390247339273,0.02730006458927903,0.00841987960712145
4,0.057339329609232915,0.0270947040795593,0.00291711719031805
5,0.016618564556195772,0.010690221108366463,0.014521216362052171
6,0.0616517693723022,0.03424126606189319,0.008011282022283092
7,0.026268905490224533,-0.01923178629328638,-0.025884268474727273
8,0.05758407696357904,0.02723749967504015,0.0035026692151677637
9,0.0520557081949589,0.031004144472588112,0.010246967098929055
10,0.046012290508793734,0.01026998516419933,-0.005931950919408854
11,0.03138336067437536,0.019258930125041648,0.01186051590841031
12,0.05838313221448569,0.03288628021883389,0.00979315938352104
13,0.049318654891823674,0.019704862869848867,0.004689897630593575
14,-0.0012658357617018198,-0.020578133491069277,-0.029320520988527745
15,-0.0013886910935505764,-0.026948669428910634,-0.02838107342304909
16,-0.007911613433042676,-0.017208618884099473,-0.003987923663719312
17,-0.012409222543777715,-0.01612684349694313,0.004331838831159451
18,-0.007934800908397962,-0.017874534996686623,-0.0008112902676385116
19,-0.013874872830306258,-0.018495305378818445,0.021357561080383985
20,-0.01841486168109485,-0.015179158737107656,0.034163689729694885
21,-0.005226812281092366,0.0016264199017605855,0.022376154214316126
22,-0.012646862514182663,-0.02852488576384289,0.03361902741011381
23,-0.014494725731361164,-0.023241128607375944,0.03561291079080227
24,-0.0033010733084845104,-0.02868344071592614,0.02186900515358104
25,-0.01513565647451029,-0.01909214695165969,0.03697468831699701
26,-0.007338437348177885,-0.016079260712493607,0.022960653180604206
27,-0.011579602505753293,-0.005510703322800878,0.024584026759233945
28,-0.004940037318128005,-0.0036391924917316414,0.026197245238890006
29,-0.00621214843525181,-0.010182061610596146,0.019787208966514737
30,0.02676455254413766,-0.0049505202997882376,-0.02003803622213979
31,0.017831194346686643,-0.0323014814955556,-0.037850295968956955
32,0.014873798180713422,-0.011948324230003962,0.006724829476207729
33,-0.010130028557525789,-0.028401880082504393,0.021601253498273378
34,-0.006980022953899162,-0.028175850018843155,0.02450365494489831
35,-0.0003394349055870892,-0.031893596148828356,0.014105075590786954
36,0.011307032214572247,-0.009239765881849932,0.012752914577988668
37,0.0037202137020450783,-0.02700395086620918,0.012976611661645704
38,0.0010415799847680635,9.511660436528395e-05,0.02417111980979632
39,-0.0014966120327805116,-0.009040758026502586,0.020366182981030937
40,-0.01961300780502984,-0.005284386686032811,0.028974912387836605
41,-0.01790733650711637,0.004781143024665249,0.01406012870757907
42,-0.021808100277507216,0.0023348814042448668,0.0173071024905344
43,-0.00023113891358499567,-0.029537718718240128,-0.027489276386146247
44,-0.008579856120451057,-0.023778221053803936,0.003612478719144243
45,-0.0025130194566026095,-0.023694426296970668,-0.007863113441498154
46,-0.010332418443235597,-0.001453888885713179,-0.01767444501889278
47,-0.021211277769135596,0.016414265814024682,-0.01387922468917502
48,-0.012724561826633627,-0.0014940690380402606,-0.0010687761921528804
49,-0.01736958492804304,0.0014207289612639673,0.006389760940087846
50,-0.028406612707536152,0.027594013440631695,-0.004760413578008633
51,-0.009515243093554386,0.009768847386977676,0.012413944831648612
52,-0.003577208997066322,0.0011759711431249256,0.02755753989004403
53,-0.0063809967866151505,0.0030950119266156843,0.015770790519628514
54,-0.023853341050067856,0.029930438249187695,-0.029044345247800755
55,-0.024933670899927422,0.03274132945997357,-0.02619220887593747
56,0.011495116656041499,0.001458012749749181,-0.008967247540655148
57,0.014780247919119246,-0.004717814001085851,-0.019478587799845296
58,0.0018692536388925823,0.002115428805614167,-0.012702852350233966
59,-0.0051115009402721455,-0.0036744948570086792,-0.019428641925409343
60,0.0025151302241779774,-0.028088411282470083,-0.006985747541305148
61,0.005511088170927303,-0.03258520457585041,0.008241147015108077
62,-0.004022615090210542,-0.03462655484269719,0.02008099095925744
63,0.01126181264333925,-0.025928429732405646,-0.03545549894282286
64,-0.02976441543796641,0.037095156747538174,-0.032557971948164
65,-0.03185316910744074,0.035976773923872364,-0.022917080330121086
66,-0.027924786990716897,0.03244625717453848,-0.01741831792834449
67,-0.029549693011796205,0.0276069293347689,-0.0074529987007344685
68,-0.02641171162770589,0.014998208581907804,0.00821929871206356
69,-0.02313795273331332,0.004383020869349509,0.018920797336138388
70,0.007523075619206157,0.002753375361841128,0.026586483174025757
71,0.0012479039305436747,0.003294217949006083,0.031087812195681647
72,-0.009666075373982006,0.012489780465722413,0.0062039019308857924
73,-0.001979415183451565,-0.008966342833661229,-0.02851095840082248
74,0.0051402856701817864,-0.018095103757472208,-0.031025343213750466
75,-0.0004401044536359431,-0.021866941475880166,-0.03477847219255617
76,0.005411707943905056,-0.032702676588344255,-0.04085689110490918
77,0.004918439854609913,-0.0379894252931606,-0.04491508086975275
78,0.0129599561975289,-0.03522465595479346,-0.038017644276693255
79,0.020443364406396748,-0.017789282097543845,-0.011557138719631701
80,0.0069524396662228715,-0.036056272745394725,-0.03445248483494561
81,0.012548247697878262,-0.032979960335311385,-0.020979044823781514
82,-0.029035714244861063,0.03384804719332229,-0.03339921107951657
83,-0.01728233156249562,0.02295851727140705,-0.01144177869202463
84,-0.028188380981386214,0.03074006635022106,-0.02295950257721247
85,-0.02797133599195539,0.03577167688374471,-0.025321974300238893
86,-0.02614331148582191,0.019612816604677608,-0.006577460251181459
87,-0.017436940570434656,0.022806034377966716,-0.008880008208713945
88,-0.022360326711926923,0.028015776251613535,-0.010590385552420164
89,-0.016643147200577108,0.021241357881361826,-0.0012107376507172621
90,-0.02055134052602189,0.02297377758736996,-0.0030500311723036305
91,-0.014309018110429129,0.016786764655467027,-6.680295209629436e-05
92,-0.026247358154271865,0.014101079798108722,0.011931505535397523
93,-0.023210374440012498,0.018278527023352437,0.003968260621409771
94,-0.013314352893903238,0.012273016429261244,0.004944446172305577
95,0.008628420660943853,0.00728017842489723,0.02594503419843378
96,0.0022041873073169083,0.005848265208923515,0.027890768306974238
97,-0.003454082872970667,0.007591056758930528,0.021609521005930492
98,0.0008971391332862423,0.00400984631263154,0.028501217104731375
99,0.018865847718769188,0.0067048818392677996,-0.00384079285559159
100,0.02357125527496961,0.0027330951644608313,-0.00977343707692038
101,0.028333005363506022,-0.006767445287180963,-0.010801373626895963
102,0.04485557074811671,-0.010743688827171902,-0.008132449412428818
103,0.05150136924100963,-0.02410651111168495,-0.005814473697166366
104,0.03629947546279098,0.0036827786541976256,-0.00559101370661791
105,0.05254936900766538,-0.020408473912927994,-0.005865229490154819
106,0.039852358702759536,-0.020706956430410966,-0.0034909401914776307
107,0.04602582389548216,-0.011274600773047254,-0.0056636157584948514
108,0.05957181125078422,-0.028814039556312884,-0.004887444172572554
109,0.051818508509865656,-0.02649644742467578,-0.003037350267207179
110,0.039216797918041196,-0.0004605791180134998,-0.004582872169175681
111,0.0555123846327738,-0.01705915644566755,-0.005259397075210277
112,0.05410707608169614,-0.02839456700997211,-0.002548567957000644
113,0.05303393017194195,-0.02503392778476663,-0.0014012767650109512
114,0.025772512494994813,-0.002934516458736103,0.006070963693414956
115,-0.0032773983518816136,0.04942621864813964,-0.008573915940720558
116,-0.0022127195455567206,0.056240457556429764,-0.01074706975997235
117,-0.007896172722403096,0.02222611029760322,0.005423606215903145
118,-0.0055530441760868795,0.03973879847036636,-0.0010720641969364441
119,-0.011031548346146506,0.012234226256121852,0.013108650901474391
120,-0.009345171347387056,0.015945633656728016,0.013290673595491662
121,-0.017129748074253735,0.001766462458221286,0.03417650098007826
122,-0.006400642006600027,-0.013021946917981865,0.015653435140288243
123,-0.01495446195152788,0.004687729456212702,0.044677401595390034
124,-0.0201312647479192,-0.003501337802459042,0.043342408626642265
125,-0.007169935353230523,-0.014551415493503457,0.017151128652399476
126,-0.018610252339632666,-0.0007256178992106026,0.048851965907855864
127,-0.007661786345669843,0.0020115113113567343,0.02636443842965499
128,-0.019014683041971268,-0.005130787888095863,0.04451922203788512
129,-0.014713252455176436,-0.00034742558774764824,0.04331152600457677
130,-0.0184763605004334,-0.01054716171381954,0.02317432556627159
131,-0.0065805238661262875,-0.01306427867996943,0.024941380611541705
132,-0.008635434353873973,-0.015941894401671722,0.0287507190221709
133,-0.009301693490488523,-0.0069757016730653,0.027497231805678778
134,0.028350745107403177,0.012629542112250921,-0.008966750824319102
135,0.020713304813979348,0.029247767125535062,-0.0066573432650878575
136,-0.009975607322477462,0.010674484196267564,0.026367998181375356
137,-0.005626264741106264,0.011311925130894596,0.031356863160955754
138,-0.012132922513667946,0.006183084928006872,0.04176511096112603
139,0.0132057331967144,-0.008706806010124232,0.012034546072327042
140,-0.004041312635231294,0.007729926074408048,0.032037158283500004
141,0.007410381307772887,-0.00029929982052961224,0.019422130458329055
142,-0.000796857315860914,-0.011578602478409512,0.01890835654960194
143,-0.005841360242809961,-0.006670645288502046,0.02505428498170095
144,-0.02196451584520676,-0.010629405552269643,0.0255850547801207
145,-0.024403974548102496,-0.01673446379054316,0.004203031864082202
146,-0.023427542388570834,-0.009946089009640093,0.0022787691305203223
