,estimates,CI_Lower,CI_Upper,raw_pval,std_err,significant
Sex[T.2],0.09366691268491549,-0.17255473171054614,0.35988855708037715,0.49045207751148745,0.13582986549517442,No
scan_age,0.0661327571051064,-0.08049583433895292,0.21276134854916573,0.3767030337217686,0.07481188052466624,No
meanFWD,-0.1826042199908678,-0.32883026819349526,-0.03637817178824029,0.014382535246362044,0.07460649754589366,Yes
