,G0,G1,G2
0,0.03998845293633847,0.023827987668393523,0.0059439631799126065
1,0.05385223405239333,0.030584561894355967,0.006497492950048862
2,0.03948592290251666,0.004787146101216066,-0.01512831482946638
3,0.04395427080598835,0.02904333092686406,0.012963983145793691
4,0.05388404733069362,0.028878473160785786,0.005943429941422287
5,0.016149841976461972,0.009631049165551728,0.017261088237412427
6,0.058927496213017586,0.036788496791339886,0.0130625532355275
7,0.028861590153083268,-0.01356212867157577,-0.02874499666130313
8,0.05425842027774956,0.029148619643676387,0.006756312491236666
9,0.049779076342687474,0.0328599686950198,0.015254695823863709
10,0.047656071459469644,0.014939422093778156,-0.004593092672085714
11,0.028971144009027155,0.018792167635368513,0.015107387908015186
12,0.05539730378366664,0.03426783344606624,0.014131546346030161
13,0.04737514371781821,0.020535703144995116,0.006291743595877314
14,-0.00041208676424523045,-0.01654800689337515,-0.030257172493752392
15,-0.0009389153639202952,-0.021354720699756045,-0.03064312215743208
16,-0.007879327742057657,-0.0158936724142893,-0.00294268770356039
17,-0.011744451090584286,-0.016806227703656765,0.0020824194667214257
18,-0.007426361610166296,-0.016998997068888213,-0.00407083290247334
19,-0.013151300291632006,-0.022128557454020512,0.017773693872828605
20,-0.017588002703670398,-0.020773599395438797,0.029384984705126155
21,-0.00472350183282164,-0.0021632203276404035,0.022551791842769894
22,-0.01149915373293392,-0.0351873230773318,0.028584819889730464
23,-0.013452187292703383,-0.029271300049417564,0.030054876483131522
24,-0.0024950694958233975,-0.03257220394495824,0.01851681863273895
25,-0.014193409563873664,-0.025704856215432757,0.03214413011038348
26,-0.006547766446905949,-0.019843506945299783,0.020078470089019397
27,-0.011335911837560629,-0.009731270433197242,0.022394220770688096
28,-0.00440130997099906,-0.007732472876451269,0.025384608012822007
29,-0.005661842228955966,-0.013499856913632046,0.01778972474504568
30,0.02789358362880139,-0.00044525582298337343,-0.020173454146535715
31,0.022013271051827203,-0.02390650346507671,-0.03999618621828501
32,0.015291654278043782,-0.012022544498088579,0.005957313492082232
33,-0.009383591475805413,-0.031611427770618435,0.01890828649105426
34,-0.006061296610396063,-0.03136721485121607,0.01999667165841497
35,0.0009504890849891961,-0.032035038393960415,0.009490576596609799
36,0.012282337304370986,-0.011746211746369641,0.012638257089095712
37,0.004605439363013031,-0.026964526281395552,0.010278852979383619
38,0.0014247527877116434,-0.0036740039865477627,0.024747196073606145
39,-0.0009226025826849922,-0.012440032747041831,0.019450829151544145
